date,aur_open,aur_high,aur_low,aur_close,aur_vol
2016-07-01 01:00:00,1321.950,1323.330,1321.473,1322.200,423
2016-07-01 01:30:00,1322.400,1323.120,1321.500,1323.070,509
2016-07-01 02:00:00,1323.080,1326.670,1320.610,1320.660,1904
2016-07-01 02:30:00,1320.660,1323.230,1320.660,1321.750,1578
2016-07-01 03:00:00,1321.750,1323.080,1321.440,1321.670,2486
2016-07-01 03:30:00,1321.720,1322.420,1320.970,1321.420,2567
2016-07-01 04:00:00,1321.420,1329.110,1320.470,1327.870,6011
2016-07-01 04:30:00,1327.940,1329.700,1326.040,1328.300,4602
2016-07-01 05:00:00,1328.320,1329.440,1327.410,1327.600,3610
2016-07-01 05:30:00,1327.650,1328.090,1326.690,1328.090,3399
2016-07-01 06:00:00,1328.060,1331.060,1327.480,1330.060,3844
2016-07-01 06:30:00,1330.100,1330.860,1329.600,1330.410,1915
2016-07-01 07:00:00,1330.410,1330.430,1329.470,1329.930,1836
2016-07-01 07:30:00,1329.940,1330.790,1329.410,1330.240,2631
2016-07-01 08:00:00,1330.240,1330.400,1329.520,1330.130,1862
2016-07-01 08:30:00,1330.130,1336.020,1330.130,1333.600,6308
2016-07-01 09:00:00,1333.600,1334.350,1330.470,1332.160,5282
2016-07-01 09:30:00,1332.170,1332.610,1331.090,1331.800,2940
2016-07-01 10:00:00,1331.770,1333.500,1330.860,1333.320,3981
2016-07-01 10:30:00,1333.320,1337.900,1333.280,1334.940,4513
2016-07-01 11:00:00,1334.930,1335.510,1332.970,1333.190,2817
2016-07-01 11:30:00,1333.190,1335.070,1332.650,1334.420,2673
2016-07-01 12:00:00,1334.420,1334.500,1332.220,1332.420,1972
2016-07-01 12:30:00,1332.420,1335.530,1331.660,1331.860,2583
2016-07-01 13:00:00,1331.870,1334.240,1331.790,1332.090,3567
2016-07-01 13:30:00,1332.070,1334.810,1331.370,1334.440,2655
2016-07-01 14:00:00,1334.450,1335.110,1333.510,1333.850,2319
2016-07-01 14:30:00,1333.860,1335.580,1332.610,1332.720,2852
2016-07-01 15:00:00,1332.710,1335.510,1332.710,1334.110,3337
2016-07-01 15:30:00,1334.100,1336.740,1333.790,1334.910,3665
2016-07-01 16:00:00,1334.910,1337.440,1333.920,1336.570,5536
2016-07-01 16:30:00,1336.590,1341.420,1335.610,1339.700,7873
2016-07-01 17:00:00,1339.040,1339.500,1334.880,1336.820,8411
2016-07-01 17:30:00,1336.810,1338.850,1335.450,1336.185,7126
2016-07-01 18:00:00,1336.185,1337.140,1334.570,1337.040,5744
2016-07-01 18:30:00,1337.040,1338.060,1335.080,1335.700,5064
2016-07-01 19:00:00,1335.690,1337.080,1334.840,1336.040,4215
2016-07-01 19:30:00,1336.050,1336.960,1335.410,1336.090,4023
2016-07-01 20:00:00,1336.100,1336.820,1335.950,1336.490,4017
