<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;30;20160801;003000;1.1176100;1.1176100;1.1164800;1.1172400;2908
EURUSD;30;20160801;010000;1.1172400;1.1181500;1.1168000;1.1179900;3918
EURUSD;30;20160801;013000;1.1178800;1.1184000;1.1173800;1.1177800;19349
EURUSD;30;20160801;020000;1.1178300;1.1179000;1.1169000;1.1171200;15378
EURUSD;30;20160801;023000;1.1171100;1.1172600;1.1165000;1.1168000;15606
EURUSD;30;20160801;030000;1.1167800;1.1170000;1.1163000;1.1167000;14272
EURUSD;30;20160801;033000;1.1166900;1.1176800;1.1164400;1.1170200;23925
EURUSD;30;20160801;040000;1.1170200;1.1176200;1.1165000;1.1174900;25049
EURUSD;30;20160801;043000;1.1174900;1.1178300;1.1166000;1.1171800;22285
EURUSD;30;20160801;050000;1.1171500;1.1174300;1.1166000;1.1171900;20259
EURUSD;30;20160801;053000;1.1171700;1.1175300;1.1168000;1.1174900;16905
EURUSD;30;20160801;060000;1.1174200;1.1175400;1.1168000;1.1170800;16816
EURUSD;30;20160801;063000;1.1171000;1.1171600;1.1164000;1.1167300;14890
EURUSD;30;20160801;070000;1.1167200;1.1178500;1.1164000;1.1178200;13993
EURUSD;30;20160801;073000;1.1178400;1.1180300;1.1173000;1.1176900;16117
EURUSD;30;20160801;080000;1.1176900;1.1181400;1.1172000;1.1179000;14439
EURUSD;30;20160801;083000;1.1179400;1.1180600;1.1171000;1.1173200;11880
EURUSD;30;20160801;090000;1.1173200;1.1176000;1.1168000;1.1169000;17656
EURUSD;30;20160801;093000;1.1171000;1.1171000;1.1160000;1.1166600;29744
EURUSD;30;20160801;100000;1.1166600;1.1170000;1.1160000;1.1164400;27949
EURUSD;30;20160801;103000;1.1164700;1.1170000;1.1158000;1.1167800;39947
EURUSD;30;20160801;110000;1.1167800;1.1172100;1.1162000;1.1168700;35692
EURUSD;30;20160801;113000;1.1168600;1.1174100;1.1164000;1.1172400;38194
EURUSD;30;20160801;120000;1.1172600;1.1180000;1.1158700;1.1159200;40448
EURUSD;30;20160801;123000;1.1159800;1.1171300;1.1157000;1.1166600;43450
EURUSD;30;20160801;130000;1.1166600;1.1177500;1.1163000;1.1175000;36091
EURUSD;30;20160801;133000;1.1175500;1.1176100;1.1162000;1.1165400;37647
EURUSD;30;20160801;140000;1.1165100;1.1166200;1.1158000;1.1164300;32458
EURUSD;30;20160801;143000;1.1164300;1.1170000;1.1155000;1.1158600;34187
EURUSD;30;20160801;150000;1.1158700;1.1164700;1.1153000;1.1156400;39146
EURUSD;30;20160801;153000;1.1156400;1.1170000;1.1153000;1.1167200;38787
EURUSD;30;20160801;160000;1.1167200;1.1170000;1.1161000;1.1165000;37058
EURUSD;30;20160801;163000;1.1164900;1.1170000;1.1158000;1.1161400;38484
EURUSD;30;20160801;170000;1.1163000;1.1170000;1.1157000;1.1164900;44277
